descricao,correto,insumo_1
30 CAP | BUPROPIONA CLORIDRATO  150MG,39.9,BUPROPIONA CLORIDRATO
90 CAP | LACTOBACILLUS ACIDOPHILUS  200MG; RHAMNOSUS LACTOBACILLUS  200MG; BIFIDOBACTERIUM LACTIS  200MG; BIFIDOBACTERIUM BREVE  200MG; BIFIDOBACTERIUM LONGUM  200MG,235.1,LACTOBACILLUS ACIDOPHILUS
120 CAP | MULUNGU   200MG,50.0,MULUNGU
30 CAP | BULGARICUS LACTOBACILLUS  100MG; BIFIDOBACTERIA BIFIDUM  100MG; BIFIDOBACTERIUM LONGUM  100MG; JOHNSONII LACTOBACILLUS  150MG; BIFIDOBACTERIUM LACTIS  150MG; PLANTARIUM LACTOBACILLUS  100MG; HELVETICUS LACTOBACILLUS  100MG; GASSERI LACTOBACILLUS  150MG,95.4,BULGARICUS LACTOBACILLUS
30 CAP | AJUGA TURKESTANICA  100MG; CITRUS AURANTIUM EXT SECO  100MG; SERENOA REPENS  150MG; PYGEUM AFRICANUM EXT. SECO  100MG; EUTERPE OLERACEA EXT SECO  75MG; ANASTROZOL   1MG; INDOL 3 CARBINOL  75MG; DIMETILPOLISILOXANE  40MG; FAMOTIDINA  10MG,118.5,AJUGA TURKESTANICA
120 CAP | SULFATO DE NEOMICINA  250MG,120.0,SULFATO DE NEOMICINA
45 CAP | LACTOBACILLUS ACIDOPHILUS  500MG; LACTOBACILLUS BIFIDUM  500MG; BULGARICUS LACTOBACILLUS  500MG; RHAMNOSUS LACTOBACILLUS  500MG; FOS  100MG; NAC  300MG; GLUTAMINA  300MG,279.6,LACTOBACILLUS ACIDOPHILUS
60 CAP | SULFATO DE ZINCO  66MG,44.0,SULFATO DE ZINCO
60 CAP | COLAGENO II  40MG,91.5,COLAGENO II
45 CAP | LIGANDROL  1MG,49.0,LIGANDROL
60 CAP | METHOTREXATE  5MG,145.2,METHOTREXATE
60 CAP | VITAMINA C  1G; ZINCO  30MG; ARGININA  500MG,128.0,VITAMINA C
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  15000UI; VITAMINA A OLEOSA ORAL  1500UI; VITAMINA K2 LIQ SOL MAE  100MCG,76.3,VITAMINA D LIQ CAP ATE 15MIL
90 CAP | VITAMINA D3  2000UI; VITAMINA A  1500UI; VITAMINA K2 MK7  120MCG,50.0,VITAMINA D3
60 CAP | GINKGO BILOBA EXT SECO  120MG,63.0,GINKGO BILOBA EXT SECO
60 CAP | METILFOLATO 1:10  200MCG; VIT B6  50MG; METILCOBALAMINA 1:100  500MCG; HEXANICOTINATO DE INOSITOL  500MG; N ACETIL L CISTEINA  300MG; PIRIDOXAL-5-FOSFATO  5MG; FOSFATIDIL COLINA  300MG; BIOTINA  2MG,239.7,METILFOLATO 1:10
30 CAP | SILICIO ORGANICO  50MG,57.8,SILICIO ORGANICO
60 CAP | VITAMINA D   2000UI,46.4,VITAMINA D
30 CAP | COLECALCIFEROL  150UI; ACIDO ASCORBICO  25MG; CAMOMILA EXT SECO  25MG; GLYCYRRHIZA GLABRA L  5MG,39.9,COLECALCIFEROL
60 CAP | CASSIOLAMINA EXTRACT  100MG; ORLISTAT  100MG; ACARBOSE  50MG,253.4,CASSIOLAMINA EXTRACT
60 CAP | VITAMINA D3   10000UI; VITAMINA A  1000UI; VITAMINA K2 MK7  120MCG,51.9,VITAMINA D3
90 CAP | HIDROCORTISONA BASE  5MG,48.0,HIDROCORTISONA BASE
30 CAP | VIT B1  30MG; VIT B2  30MG; VITAMINA B3  40MG; VIT B6  30MG; ACIDO FOLICO  4MG; ZINCO QUELADO  30MG; SELENIO QUELADO  200MCG; BORO QUELADO  5MG; MANGANES QUELADO  5MG; MAGNESIO GLICIL GLUTAMINA  400MG; VIT C  1200MG; QUERATINA   60MG; CISTINA  60MG; ACIDO PARAMINOBENZOICO  100MG; PANTOTENATO DE CALCIO  150MG; BIOTINA  5MG; PICOLINATO DE CROMO  1000MCG; CROMO QUELADO  400MCG,223.4,VIT B1
30 CAP | VITAMINA D3   10000UI; VITAMINA A  1000UI; VITAMINA K2 MK7  120MCG,40.0,VITAMINA D3
200 CAP | CITRATO DE SODIO  600MG,89.5,CITRATO DE SODIO
60 CAP | REUTERI LACTOBACILLUS  200MG; GASSERI LACTOBACILLUS  200MG; BIFIDOBACTERIUM LONGUM  200MG; ACIDOPHILUS LACTOBACILLUS  100MG; INULINA  100MG; FOS  100MG,140.0,REUTERI LACTOBACILLUS
150 CAP | T3  5MCG,50.0,T3
30 CAP | REUTERI LACTOBACILLUS  200MG; GASSERI LACTOBACILLUS  200MG; BIFIDOBACTERIUM LONGUM  200MG; LACTOBACILLUS ACIDOPHILUS  100MG; INULINA  100MG; FOS  100MG,82.0,REUTERI LACTOBACILLUS
10 CAP | SULFATO DE ZINCO  60MG,39.9,SULFATO DE ZINCO
60 CAP | VITAMINA D3 ( COLECALCIFEROL )  20000UI,59.0,VITAMINA D3 ( COLECALCIFEROL )
90 CAP | MELATONINA SLOW RELEASE  3MG; ZINCO 8.700MG; SELENIO QUELADO  50MCG,85.0,MELATONINA SLOW RELEASE
120 CAP | AMIDO 2.500MG,50.0,AMIDO 2.
90 CAP | DOXEPINA  20MG,111.2,DOXEPINA
240 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA K2 SOL MAE  120MCG,135.0,VITAMINA D LIQ CAP ATE 15MIL
60 CAP | BICARBONATO DE SODIO  100MG,45.0,BICARBONATO DE SODIO
60 CAP | RISPERIDONA  3MG,64.5,RISPERIDONA
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  3000UI; VITAMINA K2 LIQ SOL MAE  32MCG,44.0,VITAMINA D LIQ CAP ATE 15MIL
60 CAP | PICOLINATO DE CROMO  150MCG; PHOLIA ROJA  200MG; GYMNEMA SYLVESTRE EXT SECO  150MG,174.0,PICOLINATO DE CROMO
60 CAP | VITAMINA D3 1:100  5000UI; VITAMINA A   2000UI; VITAMINA K2 MK7  150MCG,53.9,VITAMINA D3 1:100
90 CAP | GARCINIA CAMBOJA   150MG; CAMELIA SINENSIS  150MG; CITRUS AURANTIUM   150MG; CROMO PICOLINATO  200MCG,85.0,GARCINIA CAMBOJA
60 CAP | MULUNGU EXT SECO  200MG; 5-HTP  50MG,64.0,MULUNGU EXT SECO
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  5000UI; VIT A   500UI,45.0,VITAMINA D LIQ CAP ATE 15MIL
60 CAP | BOSWELLIA SERRATA  250MG; COLAGENO TIPO 2  40MG; DIACEREINA  25MG,174.0,BOSWELLIA SERRATA
60 CAP | BENFOTIAMINE  150MG; ACIDO ALFA LIPOICO  300MG; FAMOTIDINA  5MG,245.0,BENFOTIAMINE
3 CAP | VALERIANA  200MG; 5-HTP  100MG,40.0,VALERIANA
30 CAP | MAGNESIO QUELADO 30%  200MG; VIT B2  250MG; VIT B5  500MG; ZINCO QUELADO  15MCG; MANGANES QUELADO  2MG; VIT C  200MG; VIT E  200UI; COBRE QUELADO  1MG; SELENIO QUELADO  100MCG; COENZIMA Q10 PO  200MG; QUERCETINA  500MG; ACIDO ALFA LIPOICO  100MG,354.0,MAGNESIO QUELADO 30%
60 CAP | MOROSIL  200MG,110.0,MOROSIL
30 CAP | VITAMINA D3 1:100  2000UI; CARBONATO DE CALCIO   400MG,40.0,VITAMINA D3 1:100
60 CAP | CETOPROFENO  25MG; CICLOBENZAPRINE  3MG; PREDNISONA  1MG; FAMOTIDINA  20MG,64.5,CETOPROFENO
30 CAP | GASSERI LACTOBACILLUS  100MG; REUTERI LACTOBACILLUS  100MG; PLANTARUM LACTOBACILLUS  10MG; ACIDOPHILUS LACTOBACILLUS  20MG; CASEI LACTOBACILLUS  20MG; BIFIDOBACTERIUM LONGUM  100MG; BIFIDOBACTERIA BIFIDUM  20MG; LACTOBACILLUS HELVETICUS  100MG; INULINA  200MG,61.9,GASSERI LACTOBACILLUS
90 CAP | ALCACHOFRA EXT SECO  300MG,48.0,ALCACHOFRA EXT SECO
30 CAP | METILFOLATO 1:10  800MCG; METILCOBALAMINA 1:100  1000MCG; VIT B6  100MG,58.5,METILFOLATO 1:10
60 CAP | UNHA DE GATO  250MG,45.0,UNHA DE GATO
60 CAP | FLUOXETINA  15MG; HCT 12.500MG; CAPSIATE  6MG; PHOLIAMAGRA  250MG; GARCINIA CAMBOJA EXT SECO  250MG,125.0,FLUOXETINA
90 CAP | CIPROEPTADINE  4MG; VITAMINA B1 0.600MG; VITAMINA B6 0.670MG; VITAMINA B2 0.770MG; VITAMINA C  20MG,49.0,CIPROEPTADINE
60 CAP | INOSITOL  500MG,44.2,INOSITOL
120 CAP | GARCINIA CAMBOJA EXT SECO  500MG; CROMO PICOLINATO  150MCG,74.8,GARCINIA CAMBOJA EXT SECO
60 CAP | BIOPERINE  10MG; HIBISCUS EXT SECO  500MG,100.2,BIOPERINE
90 CAP | CITRUS AURANTIUM EXT SECO  200MG; CAMELIA SINENSIS  400MG; CAPSICUM ANNUUM  6MG; ZINGIBER OFFICINALIS   200MG; CAFEINA ANIDRA  100MG,209.4,CITRUS AURANTIUM EXT SECO
30 CAP | METFORMINA  500MG,39.9,METFORMINA
60 CAP | CURCUMA LONGA  200MG; VIT B12  1000MCG; VIT B6  100MG; AMIDO  5MG; NAC  300MG,133.8,CURCUMA LONGA
120 CAP | PYGEUM AFRICANUM EXT. SECO  100MG,65.0,PYGEUM AFRICANUM EXT. SECO
60 CAP | ARGININA  500MG; TADALAFIL  10MG,105.8,ARGININA
120 CAP | URTIGA DIOICA EXT SECO  350MG; TESTOFEN  150MG,141.6,URTIGA DIOICA EXT SECO
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  5000UI; VITAMINA K2 MK-7 - LIQUIDA  50MCG,45.6,VITAMINA D LIQ CAP ATE 15MIL
60 CAP | GARRA DO DIABO PÓ  400MG,51.8,GARRA DO DIABO PÓ
60 CAP | BUPROPIONA CLORIDRATO  200MG; TOPIRAMATO  25MG; KAWA KAWA  100MG; FUROSEMIDA  10MG; ORLISTAT  120MG,312.6,BUPROPIONA CLORIDRATO
60 CAP | BIOTINA  10000MCG,93.2,BIOTINA
60 CAP | CYANOTIS EXT SECO  100MG; TRIBULUS TERRESTRIS EXT SECO  300MG; MARAPUAMA PO  100MG; VITAMINA K2 PÓ  15MCG; VITAMINA B6  5MG; ASPARTATO DE MAGNÉSIO  50MG; ZINCO  5MG,137.2,CYANOTIS EXT SECO
150 CAP | OXANDROLONA  10MG,137.2,OXANDROLONA
60 CAP | CURCUMA LONGA  1G,221.7,CURCUMA LONGA
40 CAP | ZINCO  30MG; MAGNESIO   200MG; ESPIRONOLACTONA  50MG; SAW PALMETO EXT SECO  400MG; SILIMARINA EXT SECO  400MG; ACIDO ALFA LIPOICO  300MG,213.9,ZINCO
60 CAP | ZINCO  30MG; ANASTROZOL 1:10  200MCG; DUTASTERIDA 0.500MG; TADALAFIL  10MG,130.3,ZINCO
80 CAP | BUPROPIONA CLORIDRATO  50MG; NALTREXONA HCL  2MG,61.5,BUPROPIONA CLORIDRATO
60 CAP | BROMETO DE PROPANTELINA  30MG,266.6,BROMETO DE PROPANTELINA
30 CAP | CIANOCOBALAMINA  5000MCG; PIRIDOXINA  100MG; TIAMINA  100MG,94.7,CIANOCOBALAMINA
60 CAP | CLOMIFENO CITRATO  25MG,66.4,CLOMIFENO CITRATO
80 CAP | HIDROCORTISONA BASE  11MG,65.8,HIDROCORTISONA BASE
90 CAP | PIRIDOXAL-5-FOSFATO  30MG,62.1,PIRIDOXAL-5-FOSFATO
60 CAP | FLUOXETINA  30MG,44.0,FLUOXETINA
15 CAP | VITAMINA D  10000UI,39.9,VITAMINA D
120 CAP | RHODIOLA ROSEA EXT SECO  200MG,104.1,RHODIOLA ROSEA EXT SECO
120 CAP | GARCINIA CAMBOJA EXT SECO  550MG,93.4,GARCINIA CAMBOJA EXT SECO
90 CAP | VITAMINA D3 1:100  20000UI; VITAMINA K2 MK7  100MCG,74.2,VITAMINA D3 1:100
30 CAP | COENZIMA Q10 PO  50MG; ACETIL L-CARNITINA HCL  50MG; RESVERATROL  50MG,71.7,COENZIMA Q10 PO
90 CAP | T4  38MCG; T3  9MCG; CORTISOL BIOIDENTICO  5MG,50.5,T4
180 CAP | T3  10MCG; CORTISOL BIOIDENTICO  5MG,76.6,T3
60 CAP | COLAGENO TIPO 2  40MG; CARBONATO DE CALCIO PESADO  1250MG; VITAMINA D  2UI,129.9,COLAGENO TIPO 2
60 CAP | NALTREXONE  4.500MG,66.4,NALTREXONE  4.
60 CAP | MELATONINA SLOW RELEASE  1MG,44.4,MELATONINA SLOW RELEASE
30 CAP | MELATONINA SLOW RELEASE  5MG,57.5,MELATONINA SLOW RELEASE
120 CAP | TANSULOSINA 0.400MG,109.9,TANSULOSINA 0.
180 CAP | CARBONATO DE CALCIO   500MG,67.1,CARBONATO DE CALCIO
60 CAP | QUEBRA PEDRA PO  500MG,44.0,QUEBRA PEDRA PO
90 CAP | CRAMBERRY EXT SECO  500MG,205.0,CRAMBERRY EXT SECO
60 CAP | ZINCO QUELADO  30MG; COBRE QUELADO 1.500MG; MANGANES QUELADO 1.500MG; SELENIO QUELADO  50MCG; QUERCETINA  250MG; CURCUMINA  250MG; PIPERINA  10MG; ACIDO ASCORBICO  500MG; MAGNESIO DIMALATO  200MG; VIT E  100UI; COENZIMA Q10 PO  100MG,312.0,ZINCO QUELADO
60 CAP | LACTOBACILLUS ACIDOPHILUS  375MG; RHAMNOSUS LACTOBACILLUS  300MG; CASEI LACTOBACILLUS  150MG; BIFIDOBACTERIUM LACTIS  225MG; BIFIDOBACTERIUM BREVE  150MG; BIFIDOBACTERIUM LONGUM  150MG; STREPTOCOCCUS TERMOPHILUS  75MG; BIFIDOBACTERIA BIFIDUM  75MG,221.8,LACTOBACILLUS ACIDOPHILUS
120 CAP | FLUOXETINA  15MG,49.5,FLUOXETINA
90 CAP | METILFOLATO 1:10  400MCG; VIT B6  50MG; METILCOBALAMINA 1:100  200MCG; N ACETIL L CISTEINA  300MG; PIRIDOXAL-5-FOSFATO  5MG; FOSFATIDIL COLINA  300MG,178.8,METILFOLATO 1:10
15 CAP | HELVETICUS LACTOBACILLUS  100MG; PLANTARUM LACTOBACILLUS  100MG; BIFIDOBACTERIUM INFANTIS  100MG; TRIPTOFANO  200MG; VITAMINA B3  30MG; VIT B6  60MG; CITRATO DE MAGNESIO  200MG,44.0,HELVETICUS LACTOBACILLUS
60 CAP | MELATONINA ZS 1MG CAPS  3MG; ZINCO QUELADO 26.100MG; SELENIO QUELADO  150MCG,206.5,MELATONINA ZS 1MG CAPS
60 CAP | SAW PALMETO   160MG,47.4,SAW PALMETO
60 CAP | CETOPROFENO  30MG; PREDNISONA  1MG; FAMOTIDINA  20MG; CICLOBENZAPRINE 2.500MG,63.1,CETOPROFENO
180 CAP | GABAPENTINA  37MG,72.3,GABAPENTINA
90 CAP | BETAINA CLORIDRATO  150MG,47.4,BETAINA CLORIDRATO
90 CAP | VITAMINA D LIQ CAP ATE 15MIL  3000UI; VITAMINA K2 LIQ SOL MAE  100MCG,48.0,VITAMINA D LIQ CAP ATE 15MIL
8 CAP | CLOROQUINA  150MG,39.9,CLOROQUINA
30 CAP | VITAMINA D LIQ CAP ATE 15MIL  5000UI; VITAMINA K2 LIQ SOL MAE  100MCG,39.9,VITAMINA D LIQ CAP ATE 15MIL
60 CAP | RAMIPRIL  5MG,116.9,RAMIPRIL
30 CAP | TADALAFILA  10MG; ARGININA  3G,172.0,TADALAFILA
300 CAP | VITAMINA C  500MG,148.1,VITAMINA C
30 CAP | CORTISOL SERICO  20MG; T4  15MCG; T3  5MCG; PRASTERONA  15MG,101.0,CORTISOL SERICO
30 CAP | PEAK O2 TM  500MG; PANAX GINSENG L  100MG,120.0,PEAK O2 TM
240 CAP | MAGNESIO DIMALATO  500MG,170.0,MAGNESIO DIMALATO
60 CAP | ZOLPIDEM HEMITARTARATO  10MG,75.0,ZOLPIDEM HEMITARTARATO
60 CAP | T4  25MCG; T3  10MCG; PRASTERONA  15MG,120.0,T4
30 CAP | CURCUMINA  200MG; VITAMINA B12  500MCG; VITAMINA B6  100MG; ACIDO FOLICO 2.500MG; NAC  300MG,74.0,CURCUMINA
30 CAP | VITAMINA D3  10000UI; VITAMINA K2 MK7  100MCG,39.9,VITAMINA D3
120 CAP | CURCUMA EXT SECO  200MG; VIT B12  500MCG; ACIDO FOLICO 2.500MG; VIT B6  100MG; NAC  200MG,207.0,CURCUMA EXT SECO
30 CAP | SIBUTRAMINA   8MG,39.9,SIBUTRAMINA
90 CAP | COMPLEXO B 100MG CAPS  100MG,48.0,COMPLEXO B 100MG CAPS
120 CAP | METILFOLATO 1:10  1000MCG; PIRIDOXAL-5-FOSFATO  50MG,177.7,METILFOLATO 1:10
120 CAP | ORLISTAT  60MG,128.8,ORLISTAT
30 CAP | QUERCETINA  500MG; NAC  300MG; IMUNO TF  25MG,162.7,QUERCETINA
60 CAP | TIMOMODULINA EXTRATO  60MG,159.7,TIMOMODULINA EXTRATO
90 CAP | VITAMINA D  50000UI,86.0,VITAMINA D
30 CAP | BIOTINA 2.500MG; TIAMINA  60MG; PANTOTENATO DE CALCIO  60MG; PABA  20MG; LEVEDURA MEDICINAL  100MG; CISTEÍNA  100MG; METIONINA  100MG; QUERATINA   20MG,66.7,BIOTINA 2.
120 CAP | COENZIMA Q10   100MG,179.1,COENZIMA Q10
120 CAP | VITAMINA D3 1:100  10000UI; MAGNESIO DI MALATO  350MG; BORO QUELADO  5MG; VITAMINA K2 MK7  120MCG; VITAMINA A   1000UI,142.9,VITAMINA D3 1:100
60 CAP | COENZIMA Q10 PO  120MG,123.9,COENZIMA Q10 PO
120 CAP | CURCUMA LONGA  250MG,112.0,CURCUMA LONGA
30 CAP | CIPROTERONA ACETATO  50MG,169.3,CIPROTERONA ACETATO
30 CAP | BIFIDOBACTERIA BIFIDUM  50MG; BIFIDOBACTERIUM LACTIS  50MG; BIFIDOBACTERIUM INFANTIS  50MG; LACTOBACILLUS ACIDOPHILUS  100MG; BULGARICUS LACTOBACILLUS  100MG; RHAMNOSUS LACTOBACILLUS  50MG; XOS (XILOOLIGOSSACARIDEOS)  200MG,68.0,BIFIDOBACTERIA BIFIDUM
120 CAP | VITAMINA C  1000MG; ZINCO QUELADO  15MG; COBRE QUELADO  1MG,134.4,VITAMINA C
60 CAP | CITRATO DE MAGNESIO  150MG; MAGNESIO DIMALATO  200MG; ZINCO QUELADO  10MG; CROMO GTF  100MCG; RIBOFLAVINA  25MG; NIACINA NO FLUSH  25MG; PIRIDOXAL-5-FOSFATO  20MG; METILFOLATO 1:10  150MCG; METILCOBALAMINA  100MCG; NAC  100MG; ACIDO ALFA LIPOICO  100MG; QUERCETINA  50MG; SELENIO QUELADO  50MCG; COBRE QUELADO  500MCG; TIAMINA  50MG,188.8,CITRATO DE MAGNESIO
120 CAP | ACIDO TRANEXAMICO  200MG,129.7,ACIDO TRANEXAMICO
90 CAP | ORLISTATE  60MG,106.8,ORLISTATE
16 CAP | VITAMINA D  25000UI,39.9,VITAMINA D
60 CAP | PHOLIAMAGRA  200MG; GARCINIA CAMBOJA  250MG; CAPSIATE  6MG; SENE  380MG,135.4,PHOLIAMAGRA
60 CAP | VITAMINA K2 SOL MAE  100MCG; VITAMINA A OLEOSA ORAL  2000UI; VITAMINA D LIQ CAP ATE 15MIL  5000UI; VITAMINA E OLEOSA ORAL  400UI,65.0,VITAMINA K2 SOL MAE
60 CAP | PASSIFLORA  600MG,66.2,PASSIFLORA
90 CAP | LACTOBACILLUS PLANTARUM   200MG; LACTOBACILLUS CASEI  100MG; HELVETICUS LACTOBACILLUS  200MG; BIFIDOBACTERIUM INFANTIS  200MG; BIFIDOBACTERIUM LONGUM  200MG; RHAMNOSUS LACTOBACILLUS  200MG; LACTOBACILLUS GASSERI  300MG,284.0,LACTOBACILLUS PLANTARUM
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  4000UI; VITAMINA A OLEOSA ORAL  500UI; VITAMINA K2 LIQ SOL MAE  300MCG,43.6,VITAMINA D LIQ CAP ATE 15MIL
60 CAP | ECHINACEA PURPUREA  300MG; ASHWAGANDHA EXTRATO  250MG; VIT C  1000MG; VITAMINA D3 1:100  4000UI; VIT A   1000UI; ZINCO  15MG,140.2,ECHINACEA PURPUREA
120 CAP | ACIDO ASCORBICO  500MG,67.1,ACIDO ASCORBICO
60 CAP | CITRUS SINENSIS EXT SECO  500MG; OPUNTIA INDICA EXT SECO  300MG; CAVALINHA  300MG,250.8,CITRUS SINENSIS EXT SECO
60 CAP | CROCUS SATIVUS  100MG; THEANINA  100MG,127.0,CROCUS SATIVUS
60 CAP | RHAMNOSUS LACTOBACILLUS  100MG; CASEI LACTOBACILLUS  100MG; ACIDOPHILUS LACTOBACILLUS  100MG; GASSERI LACTOBACILLUS  200MG; BIFIDOBACTERIA BIFIDUM  100MG; STREPTOCOCCUS TERMOPHILUS  100MG,120.9,RHAMNOSUS LACTOBACILLUS
5 CAP | AZITROMICINA  500MG,67.8,AZITROMICINA
60 CAP | CRISINA  250MG; PIPER NIGRUM  5MG; ZINCO QUELADO  15MG; QUERCETINA  100MG; INDOL 3 CARBINOL  200MG; RESVERATROL  30MG,317.9,CRISINA
120 CAP | VITAMINA D  3000UI,49.5,VITAMINA D
30 CAP | GAMMA ORYZANOL  9MG,39.9,GAMMA ORYZANOL
60 CAP | TESTOFEN  300MG,95.5,TESTOFEN
30 CAP | VITAMINA D LIQ CAP ACIMA 15MIL  60000UI,72.0,VITAMINA D LIQ CAP ACIMA 15MIL
30 CAP | MACA PO 10%  2G,211.1,MACA PO 10%
90 CAP | DOXICICLINA  100MG,124.4,DOXICICLINA
135 CAP | PICOLINATO CROMO 1:10  100MCG; 5HTP  100MG; THEANINA  100MG,237.3,PICOLINATO CROMO 1:10
30 CAP | BIFIDOBACTERIA BIFIDUM  50MG; BIFIDOBACTERIUM LACTIS  50MG; BIFIDOBACTERIUM INFANTIS  50MG; LACTOBACILLUS ACIDOPHILUS  100MG; BULGARICUS LACTOBACILLUS  100MG; LACTOBACILLUS RHAMNOSUS  50MG; INULINA  100MG,58.6,BIFIDOBACTERIA BIFIDUM
60 CAP | DIACEREINA  50MG; DEFLAZACORT  6MG; NIMESULIDE  200MG; FAMOTIDINA  40MG,235.0,DIACEREINA
30 CAP | VITAMINA D  4000UI; VIT A   400UI,40.0,VITAMINA D
30 CAP | ACIDOPHILUS LACTOBACILLUS  450MG; BIFIDOBACTERIUM LACTIS  750MG; BIFIDOBACTERIUM BREVE  75MG; LACTOBACILLUS CASEI 37.500MG; LACTOCOCCUS LACTIS  30MG; BULGARICUS LACTOBACILLUS  75MG; RHAMNOSUS LACTOBACILLUS  15MG; PRETICX  500MG,149.0,ACIDOPHILUS LACTOBACILLUS
30 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA A OLEOSA ORAL  1000UI; VITAMINA K2 MK7  200MCG,40.0,VITAMINA D LIQ CAP ATE 15MIL
30 CAP | SILICIUMAX PO  150MG; CITRATO DE MAGNESIO  500MG; ACIDO ASCORBICO  500MG; BORO QUELADO  2MG; PIRIDOXINA  50MG; SELENIO QUELADO  50MCG; COBRE QUELADO 0.500MG; ZINCO GLICINA  10MG; N ACETIL L CISTEINA  250MG; MANGANES QUELADO  2MG; RIBOFLAVINA  20MG,128.8,SILICIUMAX PO
60 CAP | ASHWAGANDHA EXTRATO  300MG,65.7,ASHWAGANDHA EXTRATO
30 CAP | IOIMBINA CLORIDRATO 2.500MG; CRISINA  100MG; CLORTALIDONA 3.500MG; ESPIRONOLACTONA  25MG; PYGEUM AFRICANUM EXT. SECO  150MG; SERENOA REPENS  100MG; DIMETILPOLISILOXANE  40MG; FAMOTIDINA  20MG,86.3,IOIMBINA CLORIDRATO 2.
30 CAP | LACTOBACILLUS ACIDOPHILUS  200MG; HELVETICUS LACTOBACILLUS  200MG; SALIVARIUS LACTOBACILLUS  200MG; LACTOCOCCUS LACTIS  200MG; BIFIDOBACTERIA BIFIDUM  200MG; BIFIDOBACTERIUM LONGUM  200MG,104.9,LACTOBACILLUS ACIDOPHILUS
30 CAP | TRAMADOL CLORIDRATO  25MG; DIACEREINA  50MG; PREGABALINA  50MG,96.2,TRAMADOL CLORIDRATO
30 CAP | SULFATO FERROSO  300MG; CARBONATO DE CALCIO PESADO  500MG; ACIDO FOLICO  300MCG,46.0,SULFATO FERROSO
180 CAP | SILIMARINA  140MG,82.8,SILIMARINA
30 CAP | MOROSIL  300MG; CACTI-NEA  300MG; CHA VERDE EXTRATO SECO  300MG; ALTILIX (BIONAP)  100MG; CITRUS AURANTIUM  250MG,197.3,MOROSIL
90 CAP | VITAMINA D  5000UI; VITAMINA K2 MK7  90MCG,54.0,VITAMINA D
60 CAP | VITAMINA  D  10000UI; VITAMINA A OLEOSA (USO ORAL)  300UI; VITAMINA E OLEOSA (USO ORAL)  200UI; VITAMINA K2 MK7  60MCG,57.0,VITAMINA  D
30 CAP | PALATINOSE  5G; TADALAFIL  5MG; CAFEÍNA  400MG,104.9,PALATINOSE
30 CAP | QUERCETINA  500MG; ZINCO QUELADO  30MG; NAC  300MG; VITAMINA A  5000UI; VITAMINA C  500MG; RESVERATROL  30MG; CURCUMA LONGA  300MG; PIPERINA  3MG; IMUNO TF  25MG; COENZIMA Q10 PO  50MG,255.9,QUERCETINA
30 CAP | MOROSIL  300MG; ALTILIX   50MG; CACTI-NEA  200MG; FIBREGUM  500MG,142.0,MOROSIL
60 CAP | COENZIMA Q10 PO  100MG; HEXANICOTINATO DE INOSITOL  100MG; RIBOFLAVINA  100MG,149.0,COENZIMA Q10 PO
60 CAP | L TEANINA  100MG; 5HTP  50MG; PASSIFLORA  5MG,86.0,L TEANINA
16 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI,40.0,VITAMINA D LIQ CAP ATE 15MIL
30 CAP | CASEI LACTOBACILLUS  100MG; RHAMNOSUS LACTOBACILLUS  100MG; PLANTARUM LACTOBACILLUS  300MG; GASSERI LACTOBACILLUS  500MG; BIFIDOBACTERIUM LACTIS  300MG; XOS (XILOOLIGOSSACARIDEOS)  200MG,110.5,CASEI LACTOBACILLUS
90 CAP | L GLUTATIONA  35MG; N ACETIL L CISTEINA  100MG; VITAMINA C  100MG,88.4,L GLUTATIONA
90 CAP | L- GLUTATIONA  70MG; N ACETIL L CISTEINA  600MG; VITAMINA C  500MG; SILIMARINA  500MG,290.5,L- GLUTATIONA
60 CAP | SILIMARINA  200MG; METIONINA  200MG; ACIDO ALFA LIPOICO  150MG,122.8,SILIMARINA
60 CAP | GASSERI LACTOBACILLUS  100MG; REUTERI LACTOBACILLUS  100MG; PLANTARIUM LACTOBACILLUS  10MG; ACIDOPHILUS LACTOBACILLUS  20MG; CASEI LACTOBACILLUS  20MG; BIFIDOBACTERIA BIFIDUM  20MG; BIFIDOBACTERIUM BREVE  20MG; BIFIDOBACTERIUM LACTIS  20MG; INULINA  200MG,80.0,GASSERI LACTOBACILLUS
90 CAP | RIBOFLAVINA  120MG; METILCOBALAMINA 1:100  500MCG,85.9,RIBOFLAVINA
60 CAP | VITAMINA D  10000UI; VITAMINA A  1000UI; MAGNESIO QUELADO 30%  400MG; ZINCO QUELADO  15MG; COBRE QUELADO  1MG; METILCOBALAMINA 1:100  250MCG; METILFOLATO 1:10  100MCG; VITAMINA B5  50MG; VITAMINA B3 NO FLUSH  30MG; VITAMINA B2  20MG; VITAMINA B1  10MG; PIRIDOXAL-5-FOSFATO  25MG; VITAMINA C  250MG; IODO QUELADO 250MCG  25MG; PANAX GINSENG L  250MG,174.2,VITAMINA D
